Date,Close,Volume
4/17/2015 16:00:00,41.62,42387608
4/20/2015 16:00:00,42.91,46057733
4/21/2015 16:00:00,42.64,26013844
4/22/2015 16:00:00,42.99,25064273
4/23/2015 16:00:00,43.34,46309530
4/24/2015 16:00:00,47.87,130933665
4/27/2015 16:00:00,48.03,59248172
4/28/2015 16:00:00,49.16,60730778
4/29/2015 16:00:00,49.06,47804562
4/30/2015 16:00:00,48.64,64725457
05-01-15,48.66,38937336
05-04-15,48.24,34039485
05-05-15,47.6,50369191
05-06-15,46.28,52433020
05-07-15,46.7,32971654
05-08-15,47.75,35364911
05-11-15,47.37,24609416
05-12-15,47.35,29928264
5/13/2015 16:00:00,47.63,34184613
5/14/2015 16:00:00,48.72,32980892
5/15/2015 16:00:00,48.3,28642694
5/18/2015 16:00:00,48.01,24136502
5/19/2015 16:00:00,47.58,28574813
5/20/2015 16:00:00,47.58,25047919
5/21/2015 16:00:00,47.42,22410698
5/22/2015 16:00:00,46.9,25720583
5/26/2015 16:00:00,46.59,29581860
5/27/2015 16:00:00,47.61,27335639
5/28/2015 16:00:00,47.45,19283666
5/29/2015 16:00:00,46.86,36519594
06-01-15,47.23,28837332
06-02-15,46.92,21498326
06-03-15,46.85,28002154
06-04-15,46.36,27745512
06-05-15,46.14,25438086
06-08-15,45.73,22121634
06-09-15,45.65,24406057
06-10-15,46.61,28417405
06-11-15,46.44,27347758
06-12-15,45.97,23930972
6/15/2015 16:00:00,45.48,33254517
6/16/2015 16:00:00,45.83,27070306
6/17/2015 16:00:00,45.97,28704061
6/18/2015 16:00:00,46.72,32658343
6/19/2015 16:00:00,46.1,63837036
6/22/2015 16:00:00,46.23,20318055
6/23/2015 16:00:00,45.91,25896473
6/24/2015 16:00:00,45.64,34890901
6/25/2015 16:00:00,45.65,20615995
6/26/2015 16:00:00,45.26,49835287
6/29/2015 16:00:00,44.37,34081746
6/30/2015 16:00:00,44.15,35945384
07-01-15,44.45,28343907
07-02-15,44.4,21752013
07-06-15,44.39,23033961
07-07-15,44.3,36435827
